Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
TGSRTC - 8688,RAJDHANI (A.C. Semi Sleeper),04:45,07:55,03h 10m,389,27 Seats available,3.7,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8627,RAJDHANI (A.C. Semi Sleeper),05:00,08:30,03h 30m,389,25 Seats available,4.6,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8649,RAJDHANI (A.C. Semi Sleeper),05:30,09:00,03h 30m,389,31 Seats available,3.4,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 1321,LAHARI A/C SLEEPER CUM SEATER,05:40,09:20,03h 40m,389,38 Seats available,3.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 64187,Super Luxury (Non AC Seater 2+2 Push Back),05:45,10:30,04h 45m,320,31 Seats available,2.9,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 64959,Super Luxury (Non AC Seater 2+2 Push Back),05:50,10:10,04h 20m,320,28 Seats available,3.0,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8694,RAJDHANI (A.C. Semi Sleeper),06:15,09:35,03h 20m,389,27 Seats available,4.1,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8937,Deluxe (Non AC Seater 2+2),06:30,11:00,04h 30m,281,34 Seats available,3.8,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8633,Super Luxury (Non AC Seater 2+2 Push Back),06:45,10:55,04h 10m,320,31 Seats available,4.3,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8603,Rajdhani (AC Semi Sleeper 2+2),07:00,10:20,03h 20m,389,33 Seats available,4.0,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 64826,Super Luxury (Non AC Seater 2+2 Push Back),07:10,11:30,04h 20m,320,31 Seats available,4.9,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 1954,LAHARI A/C SLEEPER CUM SEATER,07:25,11:00,03h 35m,389,39 Seats available,3.6,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8707,Super Luxury (Non AC Seater 2+2 Push Back),07:30,11:45,04h 15m,320,29 Seats available,3.8,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 68032,Super Luxury (Non AC Seater 2+2 Push Back),07:45,12:15,04h 30m,320,31 Seats available,3.8,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
BSR Tours And Travels,A/C Sleeper (2+1),23:59,06:00,06h 01m,780,13 Seats available,4.9,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:59,06:00,06h 01m,580,29 Seats available,4.3,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04:00,04h 20m,495,19 Seats available,3.8,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,400,20 Seats available,4.3,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri Rama Travels,A/C Seater / Sleeper (2+1),01:00,06:15,05h 15m,555,10 Seats available,4.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 9444,Super Luxury (Non AC Seater 2+2 Push Back),00:10,03:25,03h 15m,283,24 Seats available,4.8,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7064,e-SUP LUXURY (2+2),00:30,03:30,03h 00m,283,37 Seats available,3.5,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7066,e-SUP LUXURY (2+2),01:10,04:10,03h 00m,283,37 Seats available,3.5,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7299,Super Luxury (Non AC Seater 2+2 Push Back),01:30,04:30,03h 00m,283,31 Seats available,4.1,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7068,e-SUP LUXURY (2+2),01:50,04:50,03h 00m,283,37 Seats available,3.5,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7659,Super Luxury (Non AC Seater 2+2 Push Back),02:30,05:30,03h 00m,283,29 Seats available,3.8,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7070,e-SUP LUXURY (2+2),03:20,06:20,03h 00m,283,37 Seats available,2.1,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7350,Super Luxury (Non AC Seater 2+2 Push Back),03:30,06:45,03h 15m,283,28 Seats available,3.1,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7072,e-SUP LUXURY (2+2),04:00,07:00,03h 00m,283,31 Seats available,3.4,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7291,LAHARI A/C SLEEPER CUM SEATER,04:00,07:15,03h 15m,343,24 Seats available,3.6,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7809,LAHARI A/C SLEEPER CUM SEATER,04:40,08:15,03h 35m,343,22 Seats available,2.3,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 8087,Super Luxury (Non AC Seater 2+2 Push Back),05:15,09:45,04h 30m,283,31 Seats available,3.5,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7226,Super Luxury (Non AC Seater 2+2 Push Back),05:30,09:30,04h 00m,283,8 Seats available,4.1,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7002,e-SUP LUXURY (2+2),06:00,09:00,03h 00m,283,31 Seats available,4.5,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7689,Super Luxury (Non AC Seater 2+2 Push Back),06:20,09:20,03h 00m,283,31 Seats available,3.6,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7004,e-SUP LUXURY (2+2),07:00,10:00,03h 00m,283,35 Seats available,4.4,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 8095,Super Luxury (Non AC Seater 2+2 Push Back),07:00,11:15,04h 15m,283,31 Seats available,3.5,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7309,RAJDHANI (A.C. Semi Sleeper),07:00,11:20,04h 20m,343,34 Seats available,3.5,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 7476,Super Luxury (Non AC Seater 2+2 Push Back),07:30,11:15,03h 45m,283,30 Seats available,4.7,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
